file_id,file_type,file_size_mb,days_since_creation,days_since_last_accessed,access_count_30d
FILE_0001,.zip,266.91,128,24,40
FILE_0002,.tmp,101.78,102,28,40
FILE_0003,.docx,753.21,26,6,12
FILE_0004,.log,483.49,32,16,32
FILE_0005,.pdf,195.01,116,28,42
FILE_0006,.png,101.61,58,5,10
FILE_0007,.pdf,775.83,16,3,14
FILE_0008,.png,532.04,18,7,42
FILE_0009,.png,516.68,180,12,31
FILE_0010,.xlsx,84.48,145,18,18
FILE_0011,.tmp,731.88,49,13,17
FILE_0012,.log,758.19,41,25,28
FILE_0013,.log,477.96,50,15,50
FILE_0014,.pdf,587.6,12,3,33
FILE_0015,.zip,691.12,162,27,18
FILE_0016,.xlsx,689.85,22,2,50
FILE_0017,.log,304.14,159,18,11
FILE_0018,.pdf,429.94,47,12,10
FILE_0019,.tmp,455.19,167,20,40
FILE_0020,.png,386.71,18,18,25
FILE_0021,.log,203.18,161,12,37
FILE_0022,.docx,478.48,126,6,20
FILE_0023,.png,138.61,173,14,40
FILE_0024,.pdf,115.76,130,9,27
FILE_0025,.pdf,715.71,130,14,19
FILE_0026,.docx,538.82,64,4,9
FILE_0027,.docx,383.87,155,7,14
FILE_0028,.png,703.89,156,10,11
FILE_0029,.tmp,712.18,157,28,18
FILE_0030,.bak,159.7,88,11,39
FILE_0031,.tmp,521.03,59,10,25
FILE_0032,.zip,218.19,15,13,21
FILE_0033,.tmp,113.72,42,16,48
FILE_0034,.tmp,83.41,41,7,30
FILE_0035,.xlsx,351.88,45,6,31
FILE_0036,.log,335.38,31,3,50
FILE_0037,.zip,653.26,176,0,26
FILE_0038,.png,215.16,158,25,16
FILE_0039,.tmp,333.8,85,27,30
FILE_0040,.log,122.74,173,22,15
FILE_0041,.docx,95.28,110,2,27
FILE_0042,.zip,169.21,176,29,5
FILE_0043,.bak,274.96,82,28,36
FILE_0044,.docx,137.62,158,2,15
FILE_0045,.log,373.81,83,7,5
FILE_0046,.log,573.97,44,11,12
FILE_0047,.docx,333.52,67,27,21
FILE_0048,.log,790.36,143,12,26
FILE_0049,.log,621.54,152,13,49
FILE_0050,.log,201.85,115,14,42
FILE_0051,.png,322.98,147,25,50
FILE_0052,.docx,328.46,53,10,39
FILE_0053,.xlsx,794.21,178,18,29
FILE_0054,.pdf,346.8,65,5,43
FILE_0055,.log,186.87,84,7,33
FILE_0056,.png,83.71,116,28,33
FILE_0057,.docx,446.68,106,23,10
FILE_0058,.xlsx,673.86,139,18,15
FILE_0059,.docx,55.94,34,4,45
FILE_0060,.bak,236.54,105,17,37
FILE_0061,.zip,121.82,13,4,6
FILE_0062,.png,726.04,131,26,33
FILE_0063,.png,795.15,179,23,11
FILE_0064,.pdf,716.86,137,17,13
FILE_0065,.xlsx,283.21,122,17,15
FILE_0066,.log,53.18,88,5,29
FILE_0067,.tmp,123.24,138,5,14
FILE_0068,.tmp,352.32,10,0,11
FILE_0069,.pdf,780.11,123,12,29
FILE_0070,.docx,406.12,10,3,17
FILE_0071,.png,792.31,134,18,35
FILE_0072,.bak,782.0,40,23,31
FILE_0073,.log,296.46,137,22,18
FILE_0074,.pdf,400.34,51,21,40
FILE_0075,.png,153.41,57,2,22
FILE_0076,.xlsx,501.49,79,7,39
FILE_0077,.zip,67.21,82,0,20
FILE_0078,.docx,518.39,154,18,16
FILE_0079,.docx,512.0,100,29,37
FILE_0080,.tmp,177.88,130,17,37
FILE_0081,.pdf,138.31,12,8,27
FILE_0082,.bak,341.5,11,5,17
FILE_0083,.pdf,598.84,78,30,23
FILE_0084,.png,519.07,32,17,32
FILE_0085,.xlsx,665.88,93,8,50
FILE_0086,.pdf,203.19,169,21,23
FILE_0087,.tmp,97.72,170,15,35
FILE_0088,.pdf,88.99,120,11,16
FILE_0089,.png,521.97,128,26,37
FILE_0090,.docx,256.23,168,0,21
FILE_0091,.docx,390.33,70,10,27
FILE_0092,.png,505.42,89,19,31
FILE_0093,.log,608.56,49,19,39
FILE_0094,.pdf,190.34,60,23,14
FILE_0095,.log,654.69,102,9,24
FILE_0096,.tmp,339.68,72,8,15
FILE_0097,.xlsx,124.96,31,0,34
FILE_0098,.png,157.36,32,15,34
FILE_0099,.log,785.29,21,9,12
FILE_0100,.log,373.7,123,23,5
FILE_0101,.xlsx,79.9,154,17,33
FILE_0102,.zip,300.42,164,16,13
FILE_0103,.log,446.0,180,6,46
FILE_0104,.zip,392.56,161,29,16
FILE_0105,.tmp,320.77,150,11,46
FILE_0106,.log,278.94,100,22,18
FILE_0107,.png,764.51,149,0,37
FILE_0108,.bak,421.29,29,16,44
FILE_0109,.docx,287.87,77,8,18
FILE_0110,.docx,290.33,175,2,46
FILE_0111,.docx,165.59,47,12,40
FILE_0112,.pdf,339.97,54,26,50
FILE_0113,.docx,571.99,171,20,28
FILE_0114,.tmp,395.87,152,12,28
FILE_0115,.xlsx,211.59,95,23,50
FILE_0116,.zip,411.16,168,26,40
FILE_0117,.xlsx,516.81,61,25,21
FILE_0118,.bak,326.8,14,14,5
FILE_0119,.pdf,378.01,120,24,19
FILE_0120,.tmp,697.17,173,0,41
FILE_0121,.xlsx,249.38,13,10,43
FILE_0122,.pdf,682.04,126,28,43
FILE_0123,.zip,529.67,120,21,26
FILE_0124,.bak,353.03,26,3,9
FILE_0125,.pdf,386.31,66,14,47
FILE_0126,.tmp,408.3,67,6,25
FILE_0127,.bak,742.21,122,10,20
